area_name,path,us_state,url,lnglat
Friends Bloc,"Bixby State Preserve|North Slope, The|Friends Bloc",Iowa,https://www.mountainproject.com/area/121818725/friends-bloc,"[-91.39674, 42.67515]"
CROC BLOC,"Bixby State Preserve|North Slope, The|CROC BLOC",Iowa,https://www.mountainproject.com/area/121813238/croc-bloc,"[-91.39765, 42.67634]"
Crack Problems,"Bixby State Preserve|North Slope, The|Crack Problems",Iowa,https://www.mountainproject.com/area/121813359/crack-problems,"[-91.39826, 42.67627]"
A1 Area,"Bixby State Preserve|North Slope, The|A1 Area",Iowa,https://www.mountainproject.com/area/121813082/a1-area,"[-91.39776, 42.67586]"
Nut,"Bixby State Preserve|South Slope, The|Nut",Iowa,https://www.mountainproject.com/area/121813562/nut,"[-91.3973, 42.67297]"
"Corridor, The","Bixby State Preserve|South Slope, The|Corridor, The",Iowa,https://www.mountainproject.com/area/121813664/the-corridor,"[-91.39956, 42.67379]"
Commence Rampage,"Bixby State Preserve|South Slope, The|Commence Rampage",Iowa,https://www.mountainproject.com/area/121813520/commence-rampage,"[-91.4, 42.67055]"
Flash n Burn,"Bixby State Preserve|South Slope, The|Flash n Burn",Iowa,https://www.mountainproject.com/area/121813553/flash-n-burn,"[-91.39705, 42.67331]"
Cal Topo,"Bixby State Preserve|South Slope, The|Cal Topo",Iowa,https://www.mountainproject.com/area/121813681/cal-topo,"[-91.39894, 42.6741]"
Dip Boulder,Joinerville (bouldering only)|Dip Boulder,Iowa,https://www.mountainproject.com/area/112104599/dip-boulder,"[-90.75205, 42.07991]"
Community College Boulder,Joinerville (bouldering only)|Community College Boulder,Iowa,https://www.mountainproject.com/area/111711421/community-college-boulder,"[-90.75215, 42.07999]"
Barbed Wire boulder,Joinerville (bouldering only)|Barbed Wire boulder,Iowa,https://www.mountainproject.com/area/110549080/barbed-wire-boulder,"[-90.75198, 42.07986]"
Bae Wall Boulder,Joinerville (bouldering only)|Bae Wall Boulder,Iowa,https://www.mountainproject.com/area/111212956/bae-wall-boulder,"[-90.75198, 42.07986]"
Alcove boulder,Joinerville (bouldering only)|Alcove boulder,Iowa,https://www.mountainproject.com/area/110549036/alcove-boulder,"[-90.75198, 42.07986]"
Drive In Wall,Backbone State Park|Drive In Wall,Iowa,https://www.mountainproject.com/area/106947227/drive-in-wall,"[-91.5625, 42.614]"
Cake Walk and Razor Wall,Backbone State Park|Cake Walk and Razor Wall,Iowa,https://www.mountainproject.com/area/106947239/cake-walk-and-razor-wall,"[-91.5625, 42.614]"
Backbone Trail area,Backbone State Park|Backbone Trail area,Iowa,https://www.mountainproject.com/area/106458123/backbone-trail-area,"[-91.5625, 42.614]"
Mossy Glen,Mossy Glen,Iowa,https://www.mountainproject.com/area/121818803/mossy-glen,"[-91.42481, 42.70639]"
Backbone West,Backbone State Park|Devil's Backbone|Backbone West,Iowa,https://www.mountainproject.com/area/106956359/backbone-west,"[-91.5625, 42.614]"
Backbone East,Backbone State Park|Devil's Backbone|Backbone East,Iowa,https://www.mountainproject.com/area/106956366/backbone-east,"[-91.5625, 42.614]"
2020 Wall,Pictured Rocks|2020 Wall,Iowa,https://www.mountainproject.com/area/120718727/2020-wall,"[-91.1026, 42.20829]"
Primal Wall,Pictured Rocks|Primal Wall,Iowa,https://www.mountainproject.com/area/110353745/primal-wall,"[-91.10433, 42.20825]"
Mild Iowa Wall,Pictured Rocks|Mild Iowa Wall,Iowa,https://www.mountainproject.com/area/106087218/mild-iowa-wall,"[-91.10196, 42.2102]"
Ice Cave Wall,Pictured Rocks|Ice Cave Wall,Iowa,https://www.mountainproject.com/area/106087932/ice-cave-wall,"[-91.10246, 42.21159]"
