area_name,path,us_state,url,lnglat
Girls Mt.,Anchorage & South Central Alaska|Anchorage & South Central Alaska Ice|Valdez|Thompson Pass|Girls Mt.,Alaska,https://www.mountainproject.com/area/110791867/girls-mt,"[-145.77513, 61.18197]"
Sapphire PK,Anchorage & South Central Alaska|Anchorage & South Central Alaska Ice|Valdez|Thompson Pass|Sapphire PK,Alaska,https://www.mountainproject.com/area/110787776/sapphire-pk,"[-145.79599, 61.15594]"
Cracked Ice,Anchorage & South Central Alaska|Anchorage & South Central Alaska Ice|Valdez|Thompson Pass|Cracked Ice,Alaska,https://www.mountainproject.com/area/111013744/cracked-ice,"[-145.58716, 61.15739]"
3 Pigs,Anchorage & South Central Alaska|Anchorage & South Central Alaska Ice|Valdez|Thompson Pass|3 Pigs,Alaska,https://www.mountainproject.com/area/120074417/3-pigs,"[-145.43634, 61.23664]"
27 Mile Pk,Anchorage & South Central Alaska|Anchorage & South Central Alaska Ice|Valdez|Thompson Pass|27 Mile Pk,Alaska,https://www.mountainproject.com/area/110795848/27-mile-pk,"[-145.77239, 61.15813]"
"White Spot, The","Anchorage & South Central Alaska|Hatcher Pass|Archangel Valley Sport and Traditional Climbing|White Spot, The",Alaska,https://www.mountainproject.com/area/109190591/the-white-spot,"[-149.2434, 61.81268]"
Warmup Wall,Anchorage & South Central Alaska|Hatcher Pass|Archangel Valley Sport and Traditional Climbing|Warmup Wall,Alaska,https://www.mountainproject.com/area/108244674/warmup-wall,"[-149.23829, 61.81663]"
Tarzan's Temple,Anchorage & South Central Alaska|Hatcher Pass|Archangel Valley Sport and Traditional Climbing|Tarzan's Temple,Alaska,https://www.mountainproject.com/area/108036810/tarzans-temple,"[-149.2683, 61.81326]"
Std walls,Anchorage & South Central Alaska|Hatcher Pass|Archangel Valley Sport and Traditional Climbing|Std walls,Alaska,https://www.mountainproject.com/area/108244642/std-walls,"[-149.23829, 61.81663]"
PBR Wall,Anchorage & South Central Alaska|Hatcher Pass|Archangel Valley Sport and Traditional Climbing|PBR Wall,Alaska,https://www.mountainproject.com/area/115185784/pbr-wall,"[-149.24492, 61.81168]"
"Monolith, The","Anchorage & South Central Alaska|Hatcher Pass|Archangel Valley Sport and Traditional Climbing|Monolith, The",Alaska,https://www.mountainproject.com/area/106207122/the-monolith,"[-149.24309, 61.82504]"
"Lost Wall, The","Anchorage & South Central Alaska|Hatcher Pass|Archangel Valley Sport and Traditional Climbing|Lost Wall, The",Alaska,https://www.mountainproject.com/area/108417456/the-lost-wall,"[-149.24956, 61.81069]"
"Guardian, The","Anchorage & South Central Alaska|Hatcher Pass|Archangel Valley Sport and Traditional Climbing|Guardian, The",Alaska,https://www.mountainproject.com/area/113227087/the-guardian,"[-149.24957, 61.81008]"
"Gargoyle, The","Anchorage & South Central Alaska|Hatcher Pass|Archangel Valley Sport and Traditional Climbing|Gargoyle, The",Alaska,https://www.mountainproject.com/area/106773769/the-gargoyle,"[-149.23829, 61.81663]"
"Jungle Gym, The","Anchorage & South Central Alaska|Hatcher Pass|Archangel Valley Sport and Traditional Climbing|Jungle Gym, The",Alaska,https://www.mountainproject.com/area/108244709/the-jungle-gym,"[-149.23829, 61.81663]"
Green Gully,Anchorage & South Central Alaska|Hatcher Pass|Archangel Valley Sport and Traditional Climbing|Green Gully,Alaska,https://www.mountainproject.com/area/108036717/green-gully,"[-149.24389, 61.81376]"
"Diamond, The","Anchorage & South Central Alaska|Hatcher Pass|Archangel Valley Sport and Traditional Climbing|Diamond, The",Alaska,https://www.mountainproject.com/area/106207116/the-diamond,"[-149.243, 61.81501]"
Catch The Wave,Anchorage & South Central Alaska|Hatcher Pass|Archangel Valley Sport and Traditional Climbing|Catch The Wave,Alaska,https://www.mountainproject.com/area/108589786/catch-the-wave,"[-149.23829, 61.81663]"
Aurora Slab,Anchorage & South Central Alaska|Hatcher Pass|Archangel Valley Sport and Traditional Climbing|Aurora Slab,Alaska,https://www.mountainproject.com/area/106801478/aurora-slab,"[-149.25, 61.8104]"
Nunatak,Anchorage & South Central Alaska|Hatcher Pass|Glacier Creek Drainage and Snowbird Glacier|Nunatak,Alaska,https://www.mountainproject.com/area/111959100/nunatak,"[-149.25846, 61.83844]"
3rd Generation Wall,Anchorage & South Central Alaska|Hatcher Pass|Archangel Valley Sport and Traditional Climbing|3rd Generation Wall,Alaska,https://www.mountainproject.com/area/108036829/3rd-generation-wall,"[-149.23829, 61.81663]"
Northwest face of Lower spire,Anchorage & South Central Alaska|Hatcher Pass|Glacier Creek Drainage and Snowbird Glacier|Northwest face of Lower spire,Alaska,https://www.mountainproject.com/area/110688071/northwest-face-of-lower-spire,"[-149.2652, 61.76181]"
Lower Spire,Anchorage & South Central Alaska|Hatcher Pass|Glacier Creek Drainage and Snowbird Glacier|Lower Spire,Alaska,https://www.mountainproject.com/area/113446826/lower-spire,"[-149.18891, 61.84624]"
Glacier Creek Bouldering,Anchorage & South Central Alaska|Hatcher Pass|Glacier Creek Drainage and Snowbird Glacier|Glacier Creek Bouldering,Alaska,https://www.mountainproject.com/area/110782050/glacier-creek-bouldering,"[-149.44214, 61.59474]"
Didilkama,Anchorage & South Central Alaska|Hatcher Pass|Glacier Creek Drainage and Snowbird Glacier|Didilkama,Alaska,https://www.mountainproject.com/area/109700731/didilkama,"[-149.21486, 61.83791]"
Because it's there Wall,Anchorage & South Central Alaska|Hatcher Pass|Glacier Creek Drainage and Snowbird Glacier|Because it's there Wall,Alaska,https://www.mountainproject.com/area/106470541/because-its-there-wall,"[-149.29517, 61.75823]"
Rogers Roof,Anchorage & South Central Alaska|Hatcher Pass|Archangel Valley Sport and Traditional Climbing|Lane Prospect Area|Rogers Roof,Alaska,https://www.mountainproject.com/area/115146251/rogers-roof,"[-149.237, 61.84318]"
Such Awesome,Anchorage & South Central Alaska|Hatcher Pass|Independence Mine Bouldering and Climbing|Such Awesome,Alaska,https://www.mountainproject.com/area/108273089/such-awesome,"[-149.27022, 61.83738]"
Renaissance Wall,Anchorage & South Central Alaska|Hatcher Pass|Independence Mine Bouldering and Climbing|Renaissance Wall,Alaska,https://www.mountainproject.com/area/117325924/renaissance-wall,"[-149.2823, 61.80442]"
Bear's Den,Anchorage & South Central Alaska|Hatcher Pass|Archangel Valley Sport and Traditional Climbing|Lane Prospect Area|Bear's Den,Alaska,https://www.mountainproject.com/area/113377344/bears-den,"[-149.23237, 61.84442]"
"Red Scare Boulder, The","Anchorage & South Central Alaska|Hatcher Pass|Independence Mine Bouldering and Climbing|Red Scare Boulder, The",Alaska,https://www.mountainproject.com/area/108273116/the-red-scare-boulder,"[-149.27022, 61.83738]"
Wishbone,Anchorage & South Central Alaska|Hatcher Pass|Archangel Valley Sport and Traditional Climbing|Fairangel Walls|Wishbone,Alaska,https://www.mountainproject.com/area/113288839/wishbone,"[-149.24447, 61.82717]"
Tunnel Vision Wall,Anchorage & South Central Alaska|Hatcher Pass|Archangel Valley Sport and Traditional Climbing|Fairangel Gap and Valley|Tunnel Vision Wall,Alaska,https://www.mountainproject.com/area/108787479/tunnel-vision-wall,"[-149.25781, 61.8198]"
Tin Can Rock,Anchorage & South Central Alaska|Hatcher Pass|Archangel Valley Sport and Traditional Climbing|Fairangel Gap and Valley|Tin Can Rock,Alaska,https://www.mountainproject.com/area/108255973/tin-can-rock,"[-149.27002, 61.81627]"
"Sugar Cube, The","Anchorage & South Central Alaska|Hatcher Pass|Archangel Valley Sport and Traditional Climbing|Fairangel Gap and Valley|Sugar Cube, The",Alaska,https://www.mountainproject.com/area/114556640/the-sugar-cube,"[-149.27189, 61.81567]"
BPR Wall,Anchorage & South Central Alaska|Hatcher Pass|Archangel Valley Sport and Traditional Climbing|Fairangel Gap and Valley|BPR Wall,Alaska,https://www.mountainproject.com/area/110696690/bpr-wall,"[-149.26442, 61.82326]"
Ramparts Wall,Anchorage & South Central Alaska|Hatcher Pass|Independence Mine Bouldering and Climbing|Ramparts Wall,Alaska,https://www.mountainproject.com/area/114946004/ramparts-wall,"[-149.29836, 61.79244]"
Phantasia Boulders,Anchorage & South Central Alaska|Hatcher Pass|Independence Mine Bouldering and Climbing|Phantasia Boulders,Alaska,https://www.mountainproject.com/area/107267931/phantasia-boulders,"[-149.27022, 61.83738]"
Moai Wall,Anchorage & South Central Alaska|Hatcher Pass|Independence Mine Bouldering and Climbing|Moai Wall,Alaska,https://www.mountainproject.com/area/111992708/moai-wall,"[-149.27792, 61.83701]"
"Mine, The","Anchorage & South Central Alaska|Hatcher Pass|Independence Mine Bouldering and Climbing|Mine, The",Alaska,https://www.mountainproject.com/area/114940351/the-mine,"[-149.29063, 61.80328]"
King Louie Boulder,Anchorage & South Central Alaska|Hatcher Pass|Independence Mine Bouldering and Climbing|King Louie Boulder,Alaska,https://www.mountainproject.com/area/119048588/king-louie-boulder,"[-149.29244, 61.79245]"
Independence Crag,Anchorage & South Central Alaska|Hatcher Pass|Independence Mine Bouldering and Climbing|Independence Crag,Alaska,https://www.mountainproject.com/area/109080449/independence-crag,"[-149.29476, 61.79225]"
Gold Cord Lake,Anchorage & South Central Alaska|Hatcher Pass|Independence Mine Bouldering and Climbing|Gold Cord Lake,Alaska,https://www.mountainproject.com/area/117946914/gold-cord-lake,"[-149.26286, 61.79741]"
"Cube Boulder, The","Anchorage & South Central Alaska|Hatcher Pass|Independence Mine Bouldering and Climbing|Cube Boulder, The",Alaska,https://www.mountainproject.com/area/108274527/the-cube-boulder,"[-149.27022, 61.83738]"
Crucifix Boulder,Anchorage & South Central Alaska|Hatcher Pass|Independence Mine Bouldering and Climbing|Crucifix Boulder,Alaska,https://www.mountainproject.com/area/107267968/crucifix-boulder,"[-149.27022, 61.83738]"
Captain Kaboom Boulders,Anchorage & South Central Alaska|Hatcher Pass|Independence Mine Bouldering and Climbing|Captain Kaboom Boulders,Alaska,https://www.mountainproject.com/area/107267919/captain-kaboom-boulders,"[-149.27022, 61.83738]"
Black Face Boulder,Anchorage & South Central Alaska|Hatcher Pass|Independence Mine Bouldering and Climbing|Black Face Boulder,Alaska,https://www.mountainproject.com/area/111935663/black-face-boulder,"[-149.27039, 61.83786]"
SnowBird Slab/Cornerstone,Anchorage & South Central Alaska|Hatcher Pass|Reed Lakes Bouldering and Climbing|SnowBird Slab/Cornerstone,Alaska,https://www.mountainproject.com/area/106806463/snowbird-slabcornerstone,"[-149.1913, 61.82582]"
Reed Creek Wall,Anchorage & South Central Alaska|Hatcher Pass|Reed Lakes Bouldering and Climbing|Reed Creek Wall,Alaska,https://www.mountainproject.com/area/110850597/reed-creek-wall,"[-149.17507, 61.83041]"
Pulp Culture Wall,Anchorage & South Central Alaska|Hatcher Pass|Reed Lakes Bouldering and Climbing|Pulp Culture Wall,Alaska,https://www.mountainproject.com/area/110864868/pulp-culture-wall,"[-149.17318, 61.82902]"
Outpost Peak,Anchorage & South Central Alaska|Hatcher Pass|Reed Lakes Bouldering and Climbing|Outpost Peak,Alaska,https://www.mountainproject.com/area/119623835/outpost-peak,"[-149.14378, 61.83873]"
Monkey Face,Anchorage & South Central Alaska|Hatcher Pass|Reed Lakes Bouldering and Climbing|Monkey Face,Alaska,https://www.mountainproject.com/area/113244939/monkey-face,"[-149.16464, 61.84415]"
"Pinnacle, The","Anchorage & South Central Alaska|Hatcher Pass|Independence Mine Bouldering and Climbing|Pinnacle area|Pinnacle, The",Alaska,https://www.mountainproject.com/area/113551460/the-pinnacle,"[-149.26231, 61.80765]"
Mint hut,Anchorage & South Central Alaska|Hatcher Pass|Reed Lakes Bouldering and Climbing|Mint hut,Alaska,https://www.mountainproject.com/area/117788360/mint-hut,"[-149.08916, 61.86062]"
Inferno wall,Anchorage & South Central Alaska|Hatcher Pass|Reed Lakes Bouldering and Climbing|Inferno wall,Alaska,https://www.mountainproject.com/area/110964476/inferno-wall,"[-149.17364, 61.82844]"
"High Dive, The","Anchorage & South Central Alaska|Hatcher Pass|Reed Lakes Bouldering and Climbing|High Dive, The",Alaska,https://www.mountainproject.com/area/106801265/the-high-dive,"[-149.16129, 61.84442]"
Fatal Attraction Wall,Anchorage & South Central Alaska|Hatcher Pass|Reed Lakes Bouldering and Climbing|Fatal Attraction Wall,Alaska,https://www.mountainproject.com/area/113456369/fatal-attraction-wall,"[-149.17199, 61.82882]"
Falcon Slab/Zydeco Wall,Anchorage & South Central Alaska|Hatcher Pass|Reed Lakes Bouldering and Climbing|Falcon Slab/Zydeco Wall,Alaska,https://www.mountainproject.com/area/109230288/falcon-slabzydeco-wall,"[-149.1728, 61.83024]"
Dermatologist's Dream Wall,Anchorage & South Central Alaska|Hatcher Pass|Reed Lakes Bouldering and Climbing|Dermatologist's Dream Wall,Alaska,https://www.mountainproject.com/area/106803070/dermatologists-dream-wall,"[-149.18305, 61.83034]"
Birds of Prey,Anchorage & South Central Alaska|Hatcher Pass|Reed Lakes Bouldering and Climbing|Birds of Prey,Alaska,https://www.mountainproject.com/area/113091644/birds-of-prey,"[-149.18136, 61.83098]"
"Barnyard, The","Anchorage & South Central Alaska|Hatcher Pass|Reed Lakes Bouldering and Climbing|Barnyard, The",Alaska,https://www.mountainproject.com/area/110850477/the-barnyard,"[-149.17245, 61.83077]"
Shwall,Anchorage & South Central Alaska|Anchorage & South Central Alaska Ice|Valdez|Shwall,Alaska,https://www.mountainproject.com/area/113881098/shwall,"[-146.36714, 61.14202]"
Sheep Creek,Anchorage & South Central Alaska|Anchorage & South Central Alaska Ice|Valdez|Sheep Creek,Alaska,https://www.mountainproject.com/area/108940874/sheep-creek,"[-145.82577, 61.12316]"
