area_name,path,us_state,url,lnglat
Hope Boulder,Bishop Mountain|Middle Bishop|Hope Boulder,Alabama,https://www.mountainproject.com/area/120425771/hope-boulder,"[-86.38089, 34.45862]"
Green Ramp Boulder,Bishop Mountain|Middle Bishop|Green Ramp Boulder,Alabama,https://www.mountainproject.com/area/120428872/green-ramp-boulder,"[-86.37794, 34.45602]"
Found Boulder,Bishop Mountain|Middle Bishop|Found Boulder,Alabama,https://www.mountainproject.com/area/120427576/found-boulder,"[-86.37738, 34.45632]"
Cliff Wall Problems,Bishop Mountain|Middle Bishop|Cliff Wall Problems,Alabama,https://www.mountainproject.com/area/120431433/cliff-wall-problems,"[-86.37724, 34.45638]"
Blueberry Roof,Bishop Mountain|Middle Bishop|Blueberry Roof,Alabama,https://www.mountainproject.com/area/121780680/blueberry-roof,"[-86.37752, 34.45495]"
Baby Fin,Bishop Mountain|Middle Bishop|Baby Fin,Alabama,https://www.mountainproject.com/area/120428564/baby-fin,"[-86.37813, 34.45603]"
Roof Rock,Hurricane Creek Park (Tuscaloosa)|Hurricane Creek Bouldering Problems|Roof Rock Area|Roof Rock,Alabama,https://www.mountainproject.com/area/116540980/roof-rock,"[-87.45239, 33.21479]"
"Rock that is Higher than I, The","Hurricane Creek Park (Tuscaloosa)|Hurricane Creek Bouldering Problems|Rocks that are Higher than I Bouldering Area, The|Rock that is Higher than I, The",Alabama,https://www.mountainproject.com/area/116072856/the-rock-that-is-higher-than-i,"[-87.44929, 33.21399]"
Shattered Cliffs,Hurricane Creek Park (Tuscaloosa)|Hurricane Creek Bouldering Problems|Peace Cave|Shattered Cliffs,Alabama,https://www.mountainproject.com/area/116541205/shattered-cliffs,"[-87.45108, 33.21452]"
Moss Cliff,"Hurricane Creek Park (Tuscaloosa)|Hurricane Creek Bouldering Problems|I'm ""Lichen"" these Cliffs Area|Moss Cliff",Alabama,https://www.mountainproject.com/area/116072951/moss-cliff,"[-87.44979, 33.21412]"
"""Gneiss"" Cliff","Hurricane Creek Park (Tuscaloosa)|Hurricane Creek Bouldering Problems|I'm ""Lichen"" these Cliffs Area|""Gneiss"" Cliff",Alabama,https://www.mountainproject.com/area/116072929/gneiss-cliff,"[-87.45007, 33.21428]"
Peace Cave,Hurricane Creek Park (Tuscaloosa)|Hurricane Creek Bouldering Problems|Peace Cave|Peace Cave,Alabama,https://www.mountainproject.com/area/116541185/peace-cave,"[-87.45093, 33.21434]"
Joelder,"Hurricane Creek Park (Tuscaloosa)|Hurricane Creek Bouldering Problems|Rocks that are Higher than I Bouldering Area, The|Joelder",Alabama,https://www.mountainproject.com/area/116072819/joelder,"[-87.44947, 33.2138]"
All The Cave,"Hurricane Creek Park (Tuscaloosa)|Hurricane Creek Bouldering Problems|Rocks that are Higher than I Bouldering Area, The|All The Cave",Alabama,https://www.mountainproject.com/area/116485013/all-the-cave,"[-87.44956, 33.21397]"
AL Rock,"Hurricane Creek Park (Tuscaloosa)|Hurricane Creek Bouldering Problems|Rocks that are Higher than I Bouldering Area, The|AL Rock",Alabama,https://www.mountainproject.com/area/116072897/al-rock,"[-87.44936, 33.21392]"
Near Side Cliffs,Hurricane Creek Park (Tuscaloosa)|Hurricane Creek Bouldering Problems|Roof Rock Area|Near Side Cliffs,Alabama,https://www.mountainproject.com/area/116541090/near-side-cliffs,"[-87.45354, 33.21517]"
Arecibo Boulders,Bishop Mountain|Middle Bishop|Arecibo Boulders,Alabama,https://www.mountainproject.com/area/121780351/arecibo-boulders,"[-86.37584, 34.45507]"
Lock N' Load,Bishop Mountain|Right Bishop|Lock N' Load,Alabama,https://www.mountainproject.com/area/121944632/lock-n-load,"[-86.38686, 34.44061]"
Unnamed Wall,Jamestown|Unnamed Wall,Alabama,https://www.mountainproject.com/area/107582330/unnamed-wall,"[-85.5737, 34.4112]"
Harvest Wall,Jamestown|Harvest Wall,Alabama,https://www.mountainproject.com/area/105905791/harvest-wall,"[-85.5737, 34.4112]"
Seven Falls,Seven Falls,Alabama,https://www.mountainproject.com/area/106651452/seven-falls,"[-86.9547, 34.3231]"
Rainbow Mountain,Rainbow Mountain,Alabama,https://www.mountainproject.com/area/111312815/rainbow-mountain,"[-86.72793, 34.73412]"
Palisades Park,Palisades Park,Alabama,https://www.mountainproject.com/area/105914427/palisades-park,"[-86.45815, 33.98856]"
Hurricane Creek Park,Hurricane Creek Park,Alabama,https://www.mountainproject.com/area/106161967/hurricane-creek-park,"[-86.895, 34.28683]"
Home Crag Boulders  a.k.a. Sherriff Boulders,Home Crag Boulders  a.k.a. Sherriff Boulders,Alabama,https://www.mountainproject.com/area/106363568/home-crag-boulders-aka-sherriff-boulders,"[-86.8799, 33.7609]"
Gulf State Park-Boulder Park,Gulf State Park-Boulder Park,Alabama,https://www.mountainproject.com/area/114570504/gulf-state-park-boulder-park,"[-87.6068, 30.27496]"
Honeycomb Island,Honeycomb Island,Alabama,https://www.mountainproject.com/area/120969381/honeycomb-island,"[-86.34106, 34.43046]"
SCC Property,Steele|SCC Property,Alabama,https://www.mountainproject.com/area/110819929/scc-property,"[-86.23308, 33.93484]"
Orange Boy,Smith Mountain|Orange Boy,Alabama,https://www.mountainproject.com/area/113513960/orange-boy,"[-85.83855, 32.80996]"
Latrine Boulder,Smith Mountain|Latrine Boulder,Alabama,https://www.mountainproject.com/area/109961619/latrine-boulder,"[-85.83817, 32.81024]"
Ripple Effect Boulder,Sauta Cave|Ripple Effect Boulder,Alabama,https://www.mountainproject.com/area/120467105/ripple-effect-boulder,"[-86.12429, 34.61201]"
Turtle Rock,Sand Rock|Turtle Rock,Alabama,https://www.mountainproject.com/area/106119222/turtle-rock,"[-85.81285, 34.1815]"
Swiss Cheese Boulder,Sand Rock|Swiss Cheese Boulder,Alabama,https://www.mountainproject.com/area/118240485/swiss-cheese-boulder,"[-85.81732, 34.17983]"
Sun Wall,Sand Rock|Sun Wall,Alabama,https://www.mountainproject.com/area/105905418/sun-wall,"[-85.81555, 34.18041]"
Ozzy Area,Moss Rock Preserve|Ozzy Area,Alabama,https://www.mountainproject.com/area/106041268/ozzy-area,"[-86.84214, 33.38165]"
Arrowhead Trail,Monte Sano State Park|Arrowhead Trail,Alabama,https://www.mountainproject.com/area/112870830/arrowhead-trail,"[-86.53713, 34.7216]"
Wave Wall,Little River Canyon|Wave Wall,Alabama,https://www.mountainproject.com/area/113447513/wave-wall,"[-85.66332, 34.36389]"
"Cave, The","Lake Smith|Cave, The",Alabama,https://www.mountainproject.com/area/110664715/the-cave,"[-87.28368, 34.00013]"
Unshackled,Little River Canyon|Unshackled,Alabama,https://www.mountainproject.com/area/115418946/unshackled,"[-85.67426, 34.32235]"
"Wash, The","Horse Pens 40|Wash, The",Alabama,https://www.mountainproject.com/area/107367802/the-wash,"[-86.249, 33.9294]"
Vandala Boulder,Horse Pens 40|Vandala Boulder,Alabama,https://www.mountainproject.com/area/107366720/vandala-boulder,"[-86.249, 33.9294]"
Turtle Rock/ Natural Boulder,Horse Pens 40|Turtle Rock/ Natural Boulder,Alabama,https://www.mountainproject.com/area/107380328/turtle-rock-natural-boulder,"[-86.30889, 33.92097]"
