area_name,path,us_state,url,lnglat
Cracked Wall,Central Valley|Pinnacle Rock|Cracked Wall,Connecticut,https://www.mountainproject.com/area/106050777/cracked-wall,"[-72.8329, 41.6905]"
A-Frame Wall,Central Valley|Pinnacle Rock|A-Frame Wall,Connecticut,https://www.mountainproject.com/area/105877799/a-frame-wall,"[-72.83293, 41.69035]"
Right End,Western Highlands|Whitestone Cliffs|Athena Rock|Right End,Connecticut,https://www.mountainproject.com/area/112390032/right-end,"[-73.0556, 41.62088]"
Left End,Western Highlands|Whitestone Cliffs|Athena Rock|Left End,Connecticut,https://www.mountainproject.com/area/112396837/left-end,"[-73.05585, 41.62108]"
"Center, The","Western Highlands|Whitestone Cliffs|Athena Rock|Center, The",Connecticut,https://www.mountainproject.com/area/112390659/the-center,"[-73.05575, 41.62097]"
Rattlesnake Cliff,Central Valley|Rattlesnake Mountain|Rattlesnake Cliff,Connecticut,https://www.mountainproject.com/area/106362102/rattlesnake-cliff,"[-72.8326, 41.6998]"
Porcupine Wall,Central Valley|Rattlesnake Mountain|Porcupine Wall,Connecticut,https://www.mountainproject.com/area/106368370/porcupine-wall,"[-72.833, 41.7016]"
Green Wall,Central Valley|Rattlesnake Mountain|Green Wall,Connecticut,https://www.mountainproject.com/area/106368352/green-wall,"[-72.8326, 41.6998]"
AMC Wall,Central Valley|West Peak|AMC Wall,Connecticut,https://www.mountainproject.com/area/118630653/amc-wall,"[-72.84299, 41.55862]"
Weigold Rocks,CT Bouldering|Weigold Rocks,Connecticut,https://www.mountainproject.com/area/113435890/weigold-rocks,"[-72.22997, 41.89635]"
"Tree Tops, Bethel CT","CT Bouldering|Tree Tops, Bethel CT",Connecticut,https://www.mountainproject.com/area/107394899/tree-tops-bethel-ct,"[-73.4087, 41.3853]"
temp,CT Bouldering|temp,Connecticut,https://www.mountainproject.com/area/112065503/temp,"[-72.56372, 41.3641]"
Swan Hill (Higganum),CT Bouldering|Swan Hill (Higganum),Connecticut,https://www.mountainproject.com/area/107764397/swan-hill-higganum,"[-72.5639, 41.3641]"
Suburbs Boulder,CT Bouldering|Suburbs Boulder,Connecticut,https://www.mountainproject.com/area/107147207/suburbs-boulder,"[-72.9457, 41.5514]"
Straits Rock,CT Bouldering|Straits Rock,Connecticut,https://www.mountainproject.com/area/107615386/straits-rock,"[-73.4762, 41.6311]"
Stone House Commons,CT Bouldering|Stone House Commons,Connecticut,https://www.mountainproject.com/area/107697484/stone-house-commons,"[-73.4771, 41.3229]"
Shetucket Dam,CT Bouldering|Shetucket Dam,Connecticut,https://www.mountainproject.com/area/118308136/shetucket-dam,"[-72.08729, 41.61891]"
